time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
2017-08-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0.5,0,0,0.5,122,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01 01:00:00,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.5,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
2017-08-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01 05:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,17.5,0,0.5,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,42.5,5,0
2017-08-01 06:00:00,14,20,0,29.5,23.5,0,0,0,0,0,1,0,0,0,21.5,0,0,0,0,0,0,24,9.5,0,0,48,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,82,0,0,0,106.5,0,69,9,0,18.5,70.5,0.5,0,18,9,0,27,1,0,0,0,0,2,17.5,0,13,4.5,0,101,0,4,0,2,11.5,0,1,13,11,9.5,51,0,16.5,0,0,0,0,0,0,42.5,0,0,0,50,0,140,10
2017-08-01 07:00:00,0,1.5,9.5,21.5,0,92,0,0,0.5,0,53.5,0,0,31.5,101,34.5,0,19.5,18.5,0,0,1,11.5,6.5,0,2,0,40.5,0,0,31,0,5,147.5,0,14.5,0,1.5,0,12.5,0,0,0,0,22,2,1.5,70.5,0,41.5,39,17,34,47.5,1.5,30,56.5,0,35.5,0,61,21.5,2,0,105.5,0,0,0,23,0,67,132,32.5,6,0,34.5,0,0.5,7,26,2,3,1.5,9.5,0,53,8.5,122,0,0,58.5,22,0,137,28,47,12.5,71.5
2017-08-01 08:00:00,9.5,0,0,0.5,0,48.5,0,0.5,18,0,48,41.5,0,18.5,0,3.5,38,11.5,0,0,0,0,0,0,0,0,0,0,0,13,28,0.9,7,0,60.5,0,0,7.5,0.5,34,4,1.5,0.5,0,29,0,0,28.5,0,133.5,14.5,25,19,17,12,0,0,0,4,0.5,2.5,0,0,2,1.5,66.5,73.5,0.5,27.5,0,149.5,4,52,63.5,0,27.5,25.5,0.5,0,11.5,27,8,9,27.5,47,21.5,0.5,10,0,0,64.5,3,0,0.5,0,2,0,0
2017-08-01 09:00:00,0,26.5,2.5,0,0.5,0,0,2,32,0,65,7.5,0.5,0.5,0,69.5,9.5,0,0.5,45.5,0,0,5,24,2,10.5,0,1,0,1.5,0,0.8,4,0.5,0,0,0,12.5,0,0,2,0,16,0,0,0,0,23.5,0,84,19.5,40.5,0,0,1.5,0,0,18.5,0,0,10,0,28.5,1,0.5,7,70,67.5,0,0,15,0,10.5,7.5,0.5,0,34.5,0.5,0,37.5,8,0,7.5,0.5,4.5,3,0,0,135.5,0,0.5,0,5,0,23,7.5,0,0
2017-08-01 10:00:00,0,51.5,27,0,0,0.5,0,4.5,22,3.5,15.5,0,1,0,0,0,0,0,24.5,21,0,0,2,0,16.5,0,0.5,28.5,0,4.5,0,26.9,1,0,0,0,0,10,0.5,0,1.5,28.5,0,0,0,10.5,0,112.5,0,43.5,0,22.5,4,0,12.5,0,0.5,1,0,0,31.5,0,0,11.5,22,0,53,1,13,19.5,0,0,0,0,68,0,0.5,0.5,31.5,33,16,13,86,6,46.5,1.5,0,0,0,0,4.5,0,0,0,46,22.5,0,0
2017-08-01 11:00:00,0,5.5,9.5,10.5,7.5,0,0,0,24,0,0,0,16,0,0,6,2.5,0,3.5,0,0,0,0,0,0,0.5,0,0,0,6,9.5,0,1.5,0,0,0,0,2,4,0,0,0,0,0,0,14,0,37.5,0,70.5,15.5,31.5,23.5,0,0.5,0,0,2,0,0,48.5,0,0,7.5,8.5,28.5,27.5,3.5,3,7.5,8.5,0,0,0,14,0,10,0.5,8.5,0,25.5,11,0,15,19.5,21,0,0,0,0,7,0,0,0,12.5,0,0,0
2017-08-01 12:00:00,0,3,0,0,0.5,17,0,0,5,0,24.5,0,0,2,0,16,0,0,17.5,1,0,0,0,0,0,24,0,0,0,2,0,0,5.5,0,0,0,0,11.5,0,0,1.5,12,0,0,0,27.5,0,130,0,23,0,15,4.5,0,0.5,0,35.5,2.5,0,0,13,4.5,64.5,5,1.5,28.5,20.5,9,12,0,2.5,0,0,0,0,0,0,0.5,6,30,27.5,18.5,1,8,12.5,0,63.5,0,0,0,7.5,0,0,0,6,0,0,0
2017-08-01 13:00:00,0,8,0,0,6,8.5,0,0.5,6.5,0,22.5,0,0,31,0,0,0,0,26.5,17,0,0,0,0,12,15.5,0,0,0,3.5,0,0,5,0,0,0,0,7,0,0,0,15,0,0,0,21,0,6,0,0,0,0,16,1.5,0,0,0,5.5,0,0,4.5,0,14,0.5,2,0.5,36.5,17.5,16,1.5,0,0,0,35,0.5,0,1,0.5,6.5,8.5,4.5,12.5,1,1,7.5,0.5,0,0,0,0,10,0,4,0,1.5,1,0,0
2017-08-01 14:00:00,0,1.5,0,0,11,18.5,0,2,26.5,0,0,0,0,0,0,1.5,0,0,0.5,0.5,0,0,0,0,0,2,0,1.5,0,5.5,2.5,9.9,2.5,0,0,0,0,0.5,0,0,19.5,0,0,0,0.5,0,0,9.5,0,0,0,8.5,0,2,0,0,1,0,0,0,11,0.5,0.5,0.5,2,0,4,2.5,2,0.5,2,0,0,12,0,0,0,1,0,0.5,5.5,55.5,0,47,0,15,58.5,0,0,0,4.5,0,0,2,0,3.5,0,0
2017-08-01 15:00:00,0,1.5,3,0,7,2.5,0,0,1.5,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,6.5,1,24.3,4,0,0,0,0,1.5,0,0,1,22,0.5,0,0,16.5,0,13.5,0,1,0,0,0,2,0,0,0,0,0,0,40.5,0,20,24.5,1.5,44.5,5.5,17,4,0,0.5,0,0,2,0,0.5,6.5,0,8.5,7,17.5,12.5,0,31.5,0.5,9,1,0,0,0,8.5,0,0,0,0,0,0,0
2017-08-01 16:00:00,0,0.5,2.5,0,0,0,0,0,0.5,0,34.5,0,0,0,0,25.5,0,6.5,0,1,0.5,0,0,0,0,0,0,0,0,6.5,0,0,0.5,0,0,11.5,0,9.5,0.5,0,5,8,0,0,0,0,6.5,8.5,0,16,0,0.5,17.5,0.5,0,0,0,0,0,0,10,0,2.5,0,1.5,0,47,1.5,3.5,0,0,0,0,0,5,0,10,1,14,0.5,1,30,0,1.5,0.5,16,2,0,0,0,0.5,0,0,0,0,0,0,0
2017-08-01 17:00:00,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,45.5,0,11.5,0,3,0,1,0,0,0,0,0,0,0,1,0,0,5.5,7.5,0,33.5,0,5.5,0,0,11,31.5,0,0,0,0,6.5,1.5,0,13,0,1,1.5,4,1,3.5,19,0,0,0,20,0,0,7,1,0,8,0.5,3,0,0,0,0,0,0,1,0,0.5,0,1.5,1,5,1,0,32,0,0.5,0,0,0,5.5,0,0,0,0.5,9,0,0
2017-08-01 18:00:00,0,0.5,0,58.5,0,9,0,0.5,0,0,16.5,0.5,0,2.5,0,59,0.5,1,0,0,0,0,0,0,2,0,0,8.5,0,0,5.5,0,1,0.5,0,0.5,0,0,0,0,10.5,0,61,0,0,0,0.5,38,36,42.5,21.5,1,35,3.5,0,0,6,16.5,0,0,3.5,0,0,1,0,29,0,0,0.5,0,0,5.5,12.5,0,0,0,34.5,0.5,5.5,0,1,20,0,5.5,0,45,6,0,0,0,3.5,1.5,0,46.5,20,11,0,0
2017-08-01 19:00:00,0,0,0,0,0,18.5,0,0,42,48,5,1,0,0.5,69.5,0,39,0,44.5,17,0,0,0,0,0,15.5,0,0,0,0,0,0,12.5,0,0,36,75.5,0,0.5,33.5,1,0,0,0,0,0,0,0,0,18.5,0,0,12.5,21,10.5,0.5,0,0,112,0,48,0,0,0,1.5,124,4,0,7,0,2.5,24,52.5,15,0.5,0,11.5,0.5,40.5,0,1.5,0.5,0,18.5,20.5,1.5,36.5,63.5,0,0,0.5,5,0,0,53.5,0,0,0
2017-08-01 20:00:00,0,0,0,0,0,15,0,0,3.5,0,6.5,29,0.5,0.5,0,0,0,0.5,0,21,0,0.5,0,0,0,11,0,0,0,0,0.5,12.3,2,0,0,22.5,0,0,0,0,19.5,0,0.5,0,0,22.5,0,6,0,107,0,105,4,26,29.5,0,0,0,0,0,84,0,1.5,0,6,18,84.5,0,8,0,1.5,6,1,4,35.5,7,7,0.5,43,82.5,1,0.5,5,13,61,25.5,51,65,0,0,22,27.5,0,0,52,39,0,0
2017-08-01 21:00:00,0,18.5,0,0,0,0,7.5,60.5,6.5,41.5,0,36,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,25.5,0,0,0,0,0.5,4,0,0,0,0,0,62,15,0.5,0,0,0,1,0,0,0,55.5,0,0,1,1.5,109.5,56,7,0,0.5,0,40.5,0,0,0,90,0,28,0,6.5,7,2.5,0,0,0,1.5,0.5,0.5,0.5,0,2,2,19.5,0,1.5,0,41,0,2.5,91,0,5.5,1,0,0,21.5,2,2,0
2017-08-01 22:00:00,0,0,0,1.5,0,0,12,2.5,0.5,0,0,0,0,8.5,0,0,0,19.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,23.1,0,0,1.5,0,0,0,0.5,28.5,0,9,0,0,0,67.5,0,0,0,0.5,0,0,0,0,33,30,2,5.5,0,0,23,0,0,0,1,0,0,1,0,0,1.5,0,0,0,0,0,0,0.5,0.5,0,2.5,0,0,1.5,0,68.5,0,0,34.5,0,7,85.5,0,0,0,39,1.5,0
2017-08-01 23:00:00,0,0.5,0,0,0,0.5,69,0,6.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,41,0,0.5,0,0,1.5,0,0,0,0.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,12.5,9,0,44,0,0,0,0,0,4,0,0,33.5,0,0,0,1.5,6.5,0,1.5,0,0,0,0,0,9.5,0,44.5,0,0,70,0,1.5,6.5,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0
2017-08-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5.5,0.5,0,0,1,52.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 01:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2017-08-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1.5,54,0,0,0,0,0,0,0,0,0,0,0,0,77,0,6.5,0
2017-08-02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0.5,0,4.5,0,18.5,0,0,0,0,0.5,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0
2017-08-02 06:00:00,0,0,0,29,0,0,0,0,10.5,0,0,0,0,0,0,0,0,13.5,0,0,0,56,8.5,10,0,30.5,0,29.5,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,101.5,0,108.5,0,0,19.5,47.5,23,0,17,119,0,10,0,0,0,0,0,1.5,13.5,0,8,6.5,0,101.5,0,7,9,80,82,0,0.5,15.5,30.5,1.5,73.5,0,8.5,0,0,0,0,0,0,51.5,38.5,0,0,3.5,10,136,57.5
2017-08-02 07:00:00,0,36,0,0,0,135.5,0,0.5,17.5,0.5,43.5,3,0,26.5,86.5,0,54,6,0,0,0,0,17.5,0,0,19,0,0,0,1.5,0,0,5,141,0,30,0,0,0.5,39.5,0,0,9.5,0,27,2,2.5,63.5,0,64.5,36,9,49,35.5,1,32,2,53,12,0.5,62,27,0,0,112.5,3,1.5,0,9.5,0,75,173,48,1,0,80,7,0,7,31,1,0,0,9.5,0.5,38.5,16.5,94.5,0,0,84.5,28,0,137,60.5,67,81.5,80
